epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7196,0.79825,3.00303,1.33011,0.0034,1,0.04558,0.01708,0.63023,3.69568,1.10638,0,0,0
2,43.5403,0.72746,2.94526,1.27136,0.00337,1,0.0523,0.01894,0.58752,3.69225,1.06042,1.35826e-05,1.35826e-05,1.35826e-05
3,65.2744,0.87652,2.98182,1.42248,0.00335,1,0.06035,0.03449,0.51496,3.68678,0.98125,2.57506e-05,2.57506e-05,2.57506e-05
4,88.3712,0.83783,3.02172,1.43993,0.00337,1,0.11942,0.07237,0.41463,3.67259,0.89623,3.65038e-05,3.65038e-05,3.65038e-05
5,113.344,0.72519,2.96052,1.33223,0.00341,1,0.14249,0.07458,0.3066,3.64933,0.81889,4.58423e-05,4.58423e-05,4.58423e-05
6,141.524,0.60018,2.98751,1.27693,0.00344,1,0.19674,0.11462,0.22332,3.62802,0.71929,5.37661e-05,5.37661e-05,5.37661e-05
7,163.64,0.49798,2.94222,1.2286,0.00348,1,0.26454,0.17412,0.16774,3.61739,0.63573,6.02752e-05,6.02752e-05,6.02752e-05
8,185.977,0.63951,2.93882,1.33273,0.00357,1,0.23016,0.15926,0.14472,3.61161,0.581,6.53696e-05,6.53696e-05,6.53696e-05
9,213.04,0.34889,2.76627,1.11373,0.0036,1,0.26831,0.22176,0.13461,3.60534,0.54488,6.90493e-05,6.90493e-05,6.90493e-05
10,237.434,0.39533,2.73836,1.12007,0.00366,1,0.33116,0.27256,0.13115,3.59771,0.51837,7.13142e-05,7.13142e-05,7.13142e-05
11,264.731,0.77189,3.32879,1.35871,0.00369,1,0.45981,0.36804,0.1218,3.58532,0.48892,7.21645e-05,7.21645e-05,7.21645e-05
12,288.256,0.8059,3.40723,1.2804,0.00378,1,0.48183,0.40511,0.11432,3.56811,0.46529,7.16e-05,7.16e-05,7.16e-05
13,311.32,0.92176,3.4231,1.3853,0.00387,1,0.52771,0.42961,0.11923,3.55288,0.4615,6.96209e-05,6.96209e-05,6.96209e-05
14,336.412,0.47951,3.15948,1.2202,0.00397,1,0.58208,0.47312,0.12193,3.53802,0.46782,6.6227e-05,6.6227e-05,6.6227e-05
15,363.086,0.37695,2.93413,1.13473,0.00406,1,0.65532,0.5154,0.12012,3.521,0.46532,6.14184e-05,6.14184e-05,6.14184e-05
16,388.358,0.35826,2.85631,1.12153,0.00415,1,0.64458,0.48245,0.11895,3.50282,0.47306,5.51951e-05,5.51951e-05,5.51951e-05
17,415.492,0.46898,2.91677,1.29809,0.00436,1,0.53725,0.37585,0.11877,3.48166,0.47622,4.75571e-05,4.75571e-05,4.75571e-05
18,442.067,0.55465,2.85052,1.31407,0.00436,1,0.53725,0.37585,0.11877,3.48166,0.47622,3.85044e-05,3.85044e-05,3.85044e-05
19,468.793,0.5209,2.80029,1.31039,0.00456,1,0.39908,0.30593,0.12045,3.47008,0.48542,2.8037e-05,2.8037e-05,2.8037e-05
20,497.325,0.37408,2.82876,1.2276,0.00456,1,0.39908,0.30593,0.12045,3.47008,0.48542,1.61548e-05,1.61548e-05,1.61548e-05
